IndexNumber_Target,CCT_Target,Duv_Target,Duv_signed,CIEu1960_Target,CIEv1960_Target,CIEu1976_Target,CIEv1976_Target
235,3642,0.015,0.015,0.224819487784658,0.351945935010668,0.224819487784658,0.527918902516002
236,3642,0.0180000000000001,0.0180000000000001,0.223314778041589,0.354541286352802,0.223314778041589,0.531811929529203
237,3642,0.021,0.021,0.221810068298521,0.357136637694935,0.221810068298521,0.535704956542403
238,3642,0.024,0.024,0.220305358555452,0.359731989037069,0.220305358555452,0.539597983555604
239,3642,0.027,0.027,0.218800648812384,0.362327340379203,0.218800648812384,0.543491010568804
240,3642,0.03,0.03,0.217295939069315,0.364922691721336,0.217295939069315,0.547384037582004
241,3642,0.033,0.033,0.215791229326247,0.36751804306347,0.215791229326247,0.551277064595205
242,3642,0.036,0.036,0.214286519583178,0.370113394405604,0.214286519583178,0.555170091608405
243,3642,0.039,0.039,0.21278180984011,0.372708745747737,0.21278180984011,0.559063118621606
244,3642,0.042,0.042,0.211277100097042,0.375304097089871,0.211277100097042,0.562956145634806
245,3642,0.045,0.045,0.209772390353973,0.377899448432005,0.209772390353973,0.566849172648007
246,3642,0.048,0.048,0.208267680610905,0.380494799774138,0.208267680610905,0.570742199661207
247,3642,0,0,0.2323430365,0.3389691783,0.2323430365,0.50845376745
248,3642,0.00300000000000004,-0.00300000000000004,0.233847746243068,0.336373826957866,0.233847746243068,0.5045607404368
249,3642,0.00600000000000003,-0.00600000000000003,0.235352455986137,0.333778475615733,0.235352455986137,0.500667713423599
250,3642,0.00900000000000002,-0.00900000000000002,0.236857165729205,0.331183124273599,0.236857165729205,0.496774686410399
251,3642,0.012,-0.012,0.238361875472274,0.328587772931466,0.238361875472274,0.492881659397198
252,3642,0.015,-0.015,0.239866585215342,0.325992421589332,0.239866585215342,0.488988632383998
253,3642,0.0180000000000001,-0.0180000000000001,0.241371294958411,0.323397070247198,0.241371294958411,0.485095605370797
254,3642,0.021,-0.021,0.242876004701479,0.320801718905065,0.242876004701479,0.481202578357597
255,3642,0.024,-0.024,0.244380714444548,0.318206367562931,0.244380714444548,0.477309551344396
256,3642,0.027,-0.027,0.245885424187616,0.315611016220797,0.245885424187616,0.473416524331196
257,3642,0.03,-0.03,0.247390133930685,0.313015664878664,0.247390133930685,0.469523497317996
258,3642,0.033,-0.033,0.248894843673753,0.31042031353653,0.248894843673753,0.465630470304795
259,3642,0.036,-0.036,0.250399553416822,0.307824962194396,0.250399553416822,0.461737443291595
260,3642,0.039,-0.039,0.25190426315989,0.305229610852263,0.25190426315989,0.457844416278394
261,3642,0.042,-0.042,0.253408972902958,0.302634259510129,0.253408972902958,0.453951389265194
262,3642,0.045,-0.045,0.254913682646027,0.300038908167996,0.254913682646027,0.450058362251993
263,3642,0.048,-0.048,0.256418392389095,0.297443556825862,0.256418392389095,0.446165335238793
264,3855,0.00300000000000003,0.00300000000000003,0.22621693728735,0.338738536430779,0.22621693728735,0.508107804646169
265,3855,0.00600000000000001,0.00600000000000001,0.224591007174701,0.341259716961558,0.224591007174701,0.511889575442337
266,3855,0.00899999999999999,0.00899999999999999,0.222965077062051,0.343780897492337,0.222965077062051,0.515671346238506
